time,pid,x,y,z
1645222085605,MC4267,-0.48185742,0.34038574,0.6836985
1645222085620,MC4267,-0.45057508,0.38191253,0.90029645
1645222085643,MC4267,-0.28306532,0.3108718,0.9896919
1645222085662,MC4267,-0.20958541,0.22489119,0.91029704
1645222085682,MC4267,-0.25202692,0.18458395,0.86462367
1645222085701,MC4267,-0.32386038,0.13525179,0.8006565
1645222085721,MC4267,-0.21641508,0.090127215,0.7796797
1645222085741,MC4267,-0.2330014,0.011951918,0.840232
1645222085761,MC4267,-0.19098675,-0.045917317,0.9323106
1645222085782,MC4267,-0.032501895,0.08128524,0.849013
1645222085802,MC4267,-0.03323365,0.15214303,0.8475495
1645222085822,MC4267,-0.0398194,0.12549514,0.7359576
1645222085842,MC4267,-0.09896919,0.034941066,0.7210787
1645222085861,MC4267,-0.6171092,0.107201375,0.9306031
1645222085882,MC4267,-0.09653003,0.44514796,0.4522215
1645222085902,MC4267,0.2326965,0.4505141,0.5320433
1645222085922,MC4267,0.20336553,0.7303475,1.188423
1645222085942,MC4267,0.29105356,0.57607025,0.87413645
1645222085962,MC4267,0.22604978,0.62241435,0.76992303
1645222085982,MC4267,0.3264215,0.5286894,1.1198215
1645222086003,MC4267,0.32251883,0.42490283,1.2814772
1645222086023,MC4267,0.41264603,0.40069413,1.2114122
1645222086043,MC4267,0.52740884,0.20001169,1.2714767
1645222086063,MC4267,0.5378972,0.010976251,1.4888065
1645222086082,MC4267,0.5293602,0.0017074167,1.3569086
1645222086103,MC4267,0.49905354,0.011951918,1.170861
1645222086123,MC4267,0.36306998,0.0056100837,1.1044548
1645222086142,MC4267,0.23019637,0.0021952502,1.2392187
1645222086162,MC4267,0.1411058,-0.08890763,1.3595916
1645222086183,MC4267,0.018293751,-0.14043503,1.2099487
1645222086203,MC4267,0.015122835,-0.005366167,1.0763434
1645222086224,MC4267,0.0033538546,0.071772486,0.9073701
1645222086243,MC4267,0.3881934,0.120372884,0.92444426
1645222086263,MC4267,0.4106947,0.20196302,0.78528976
1645222086283,MC4267,0.465393,0.34892282,0.5000902
1645222086303,MC4267,0.670283,0.6129016,0.2944684
1645222086324,MC4267,0.8885884,0.77285,0.3518498
1645222086343,MC4267,0.8878567,0.734738,0.50765157
1645222086363,MC4267,0.72004205,0.6768688,0.4839307
1645222086383,MC4267,0.6331467,0.44685537,0.40679204
1645222086404,MC4267,0.37331447,0.4605147,0.2265986
1645222086423,MC4267,0.084212236,0.6768688,0.054881252
1645222086444,MC4267,0.14915505,0.41734144,0.11305538
1645222086463,MC4267,0.041465838,0.39093748,-0.053234816
1645222086483,MC4267,0.12104365,0.57607025,-0.22934265
1645222086504,MC4267,0.11323831,1.1987286,-0.5435683
1645222086524,MC4267,0.21873228,1.3967888,-0.53210425
1645222086543,MC4267,0.4780767,1.0986007,-0.27477214
1645222086563,MC4267,0.3393491,0.91230935,-0.11799469
1645222086584,MC4267,-0.08793196,0.95450693,-0.58289987
1645222086604,MC4267,-0.41026786,1.1166506,-0.93359107
1645222086630,MC4267,0.06366225,0.95426303,-0.30843264
1645222086645,MC4267,0.1999507,0.9699347,-0.38270527
1645222086664,MC4267,0.6135724,1.1250046,-0.6095478
1645222086684,MC4267,0.7107732,0.9174316,0.08738315
1645222086704,MC4267,0.26684487,0.95036036,-0.03225798
1645222086725,MC4267,0.07591907,1.0402436,-0.32629955
1645222086744,MC4267,0.10518908,0.9332862,-0.31672582
1645222086764,MC4267,0.31300607,1.2717206,0.112323634
1645222086784,MC4267,0.53887296,1.4868551,0.078114316
1645222086804,MC4267,0.3032494,1.0353653,-0.36581403
1645222086824,MC4267,0.12842214,0.7584589,-0.48911393
1645222086844,MC4267,0.16135088,0.37288764,-0.4856991
1645222086864,MC4267,0.69321126,0.032501895,-0.20513393
1645222086885,MC4267,0.5447269,1.1518356,-0.07988272
1645222086905,MC4267,0.050490756,1.4858794,-0.40124294
1645222086925,MC4267,-0.12384869,1.0092053,-0.25202692
1645222086945,MC4267,0.13012955,0.76333725,-0.004695396
1645222086964,MC4267,0.073723815,0.99700946,-0.08524888
1645222086984,MC4267,0.03829492,1.0317066,-0.39002278
1645222087004,MC4267,0.02561125,0.6695513,-0.61223084
1645222087025,MC4267,-0.111896776,0.7682156,-0.41782928
1645222087045,MC4267,-0.039575484,0.7176638,-0.4119753
1645222087065,MC4267,-0.039331567,0.5333238,-0.38953492
1645222087085,MC4267,-0.023964815,0.7560198,-0.3091644
1645222087105,MC4267,-0.02054998,0.8827345,-0.29062673
1645222087125,MC4267,0.09884724,0.98554534,-0.3331292
1645222087145,MC4267,0.14037405,1.1515917,-0.38563228
1645222087165,MC4267,0.11518965,1.1496403,-0.38904712
1645222087185,MC4267,-0.01542773,1.1647632,-0.26275924
1645222087205,MC4267,-0.079394884,1.0864049,-0.2789187
1645222087225,MC4267,-0.071589544,1.033414,-0.32477504
